Company ,Car Name,Engine,CC,HP (Horsepower),Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
FERRARI,SF90 STRADALE,V8,3990,963,340,2.5,1100000,plug in hyrbrid,2,800
ROLLS ROYCE,PHANTOM,V12,6749,563,250,5.3,460000,Petrol,5,900
Ford,KA+,1.2L Petrol,1200,,165,10.5,,Petrol,5,
MERCEDES, GT 63 S,V8,3982,630,250,3.2,161000,Petrol,4,900
AUDI,AUDI R8 Gt,V10,5204,602,320,3.6,253290,Petrol,2,560
BMW,Mclaren 720s,V8,3994,710,341,2.9,499000,Petrol,2,770
ASTON MARTIN,VANTAGE F1,V8,3982,656,314,3.6,193440,Petrol,2,685
BENTLEY,Continental GT Azure,V8,3996,550,318,4,311000,Petrol,4,900
LAMBORGHINI,VENENO ROADSTER,V12,6498,750,356,2.9,4500000,Petrol,2,690
FERRARI,F8 TRIBUTO,V8,3900,710,340,2.9,280000,Petrol,2,770
FERRARI,812 GTS,V12,6496,789,340,2.9,350000,Petrol,2,718
FERRARI,PORTOFINO,V8,3900,592,320,3.2,210000,Petrol,4,760
FERRARI,ROMA,V8,3900,612,320,3.4,230000,Petrol,4,760
FERRARI,MONZA SP2,V12,6496,789,340,2.9,1700000,Petrol,2,719
FERRARI,F8 SPIDER,V8,3900,710,340,2.9,280000,Petrol,2,770
FERRARI,PORTOFINO M,V8,3900,612,320,3.2,220000,Petrol,4,760
FERRARI,ROMA SPIDER,V8,3900,612,320,3.4,240000,Petrol,4,760
TOYOTA,GR SUPRA,I4,2998,382,250,4.1,53900,Petrol,2,500
TOYOTA,TOYOTA 86,BOXER-4,1998,205,226,6.4,27000,Petrol,4,205
TOYOTA,TOYOTA  GR86,BOXER-4,2387,228,226,5.6,30000,Petrol,4,250
TOYOTA,TOYOTA LAND CRUISER,V8,5663,381,220,6.7,85000,Diesel,7,500
TOYOTA,TOYOTA SEQUOIA,V8,5663,381,200,6.9,50000,Petrol,7,651
NISSAN,GT-R,V6,3799,600,315,2.9,113000,Petrol,4,637
NISSAN,370Z,V6,3696,332,250,4.7,30000,Petrol,2,366
NISSAN,Z PROTO,V6,2998,400,290,4.1,40000,Petrol,2,475
NISSAN,ALTIMA,I4,2488,188,225,7.3,25000,Petrol,5,380
NISSAN,MAXIMA,V6,3498,300,240,5.8,35000,Petrol,5,354
NISSAN,SENTRA,I4,1998,149,200,8.2,20000,Petrol,5,240
