Company/Brand,Car Name,Battery_CC,Battery_kWh,Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm),Torque
FERRARI,SF90 STRADALE,3990,,963,340,2.5,1100000,PH,2,800,800 Nm
ROLLS ROYCE,PHANTOM,6749,,563,250,5.3,460000,P,5,900,900 Nm
Ford,KA+,1200,,78,165,10.5,13500,P,5,373,100 - 140 Nm
MERCEDES,GT 63 S,3982,,630,250,3.2,161000,P,4,900,900 Nm
AUDI,AUDI R8 Gt,5204,,602,320,3.6,253290,P,2,560,560 Nm
BMW,Mclaren 720s,3994,,710,341,2.9,499000,P,2,770,770 Nm
ASTON MARTIN,VANTAGE F1,3982,,656,314,3.6,193440,P,2,685,685 Nm
BENTLEY,Continental GT Azure,3996,,550,318,4,311000,P,4,900,900 Nm
LAMBORGHINI,VENENO ROADSTER,6498,,750,356,2.9,4500000,P,2,690,690 Nm
FERRARI,F8 TRIBUTO,3900,,710,340,2.9,280000,P,2,770,770 Nm
FERRARI,812 GTS,6496,,789,340,2.9,350000,P,2,718,718 Nm
FERRARI,PORTOFINO,3900,,592,320,3.2,210000,P,4,760,760 Nm
FERRARI,ROMA,3900,,612,320,3.4,230000,P,4,760,760 Nm
FERRARI,MONZA SP2,6496,,789,340,2.9,1700000,P,2,719,719 Nm
FERRARI,F8 SPIDER,3900,,710,340,2.9,280000,P,2,770,770 Nm
FERRARI,PORTOFINO M,3900,,612,320,3.2,220000,P,4,760,760 Nm
FERRARI,ROMA SPIDER,3900,,612,320,3.4,240000,P,4,760,760 Nm
TOYOTA,GR SUPRA,2998,,382,250,4.1,53900,P,2,500,500 Nm
TOYOTA,TOYOTA 86,1998,,205,226,6.4,27000,P,4,205,205 Nm
TOYOTA,TOYOTA  GR86,2387,,228,226,5.6,30000,P,4,250,250 Nm
TOYOTA,TOYOTA LAND CRUISER,5663,,381,220,6.7,85000,D,7,500,500 Nm
TOYOTA,TOYOTA SEQUOIA,5663,,381,200,6.9,50000,P,7,651,651 Nm
NISSAN,GT-R,3799,,600,315,2.9,113000,P,4,637,637 Nm
NISSAN,370Z,3696,,332,250,4.7,30000,P,2,366,366 Nm
NISSAN,Z PROTO,2998,,400,290,4.1,40000,P,2,475,475 Nm
NISSAN,ALTIMA,2488,,188,225,7.3,25000,P,5,380,380 Nm
NISSAN,MAXIMA,3498,,300,240,5.8,35000,P,5,354,354 Nm
NISSAN,SENTRA,1998,,149,200,8.2,20000,P,5,240,240 Nm
NISSAN,ROGUE,2488,,201,200,7.5,28000,P,5,270,270 Nm
NISSAN,PATHFINDER,3498,,284,225,6.5,35000,P,7,351,351 Nm
NISSAN,FRONTIER,3799,,310,180,6.8,30000,P,5,381,381 Nm
NISSAN,TITAN,5598,,400,200,5.9,40000,P,5,560,560 Nm
ASTON MARTIN,VALKYRIE,6496,,1160,402,2.5,3200000,H,2,900,900 Nm
ASTON MARTIN,VALHALLA,3996,,1000,362,2.5,1100000,H,2,1000,1000 Nm
ASTON MARTIN,DBS SUPERLEGGERA,5204,,715,340,3.4,316000,P,2,900,900 Nm
ASTON MARTIN,DB11,5204,,600,322,3.9,208000,P,4,700,700 Nm
ASTON MARTIN,VANTAGE,3996,,503,313,3.6,142000,P,2,685,685 Nm
ASTON MARTIN,DBX,3996,,542,291,4.5,189000,P,5,700,700 Nm
ASTON MARTIN,RAPIDE AMR,5935,,580,328,4.2,240000,P,4,630,630 Nm
ASTON MARTIN,VANQUISH,5935,,580,324,3.6,294000,P,2,630,630 Nm
ASTON MARTIN,LAGONDA TARAF,5935,,540,314,4.2,1100000,P,4,630,630 Nm
ASTON MARTIN,VICTOR,5204,,836,320,2.8,1300000,P,2,821,821 Nm
LAMBORGHINI,SIAN,6498,,819,350,2.8,2800000,H,2,720,720 Nm
LAMBORGHINI,AVENTADOR SVJ,6498,,759,350,2.8,518000,P,2,720,720 Nm
LAMBORGHINI,HURACAN PERFORMANTE,5204,,640,325,2.9,274000,P,2,600,600 Nm
LAMBORGHINI,HURACAN EVO,5204,,640,325,2.9,261000,P,2,600,600 Nm
LAMBORGHINI,AVENTADOR SV,6498,,740,350,2.8,493000,P,2,690,690 Nm
LAMBORGHINI,URUS,3996,,641,305,3.6,211000,P,5,850,850 Nm
LAMBORGHINI,HURACAN SPYDER,5204,,610,325,3.4,287000,P,2,600,600 Nm
LAMBORGHINI,AVENTADOR ROADSTER,6498,,700,350,3,445000,P,2,690,690 Nm
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,5204,,640,325,3.1,308000,P,2,600,600 Nm
LAMBORGHINI,AVENTADOR S,6498,,740,350,2.9,421000,P,2,690,690 Nm
LAMBORGHINI,HURACAN EVO SPYDER,5204,,640,325,3.1,287000,P,2,600,600 Nm
LAMBORGHINI,URUS PERFORMANTE,3996,,641,305,3.3,242000,P,5,850,850 Nm
LAMBORGHINI,AVENTADOR ULTIMAE,6498,,769,355,2.8,545000,P,2,720,720 Nm
LAMBORGHINI,HURACAN EVO RWD,5204,,610,325,3.3,258000,P,2,560,560 Nm
LAMBORGHINI,AVENTADOR SVJ ROADSTER,6498,,759,350,2.9,573000,P,2,720,720 Nm
LAMBORGHINI,URUS S,3996,,671,305,3.3,263000,P,5,850,850 Nm
LAMBORGHINI,HURACAN STO,5204,,640,325,3,327000,P,2,565,565 Nm
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,6498,,769,355,2.8,545000,P,2,720,720 Nm
LAMBORGHINI,HURACAN EVO RWD SPYDER,5204,,610,325,3.3,273000,P,2,600,600 Nm
LAMBORGHINI,AVENTADOR SVJ XAGO,6498,,759,350,2.9,603000,P,2,720,720 Nm
LAMBORGHINI,URUS GRAPHITE CAPSULE,3998,,641,305,3.3,253000,P,5,850,850 Nm
LAMBORGHINI,HURACAN STO EVO,5204,,640,325,3,342000,P,2,565,565 Nm
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,6498,,769,355,2.8,573000,P,2,720,720 Nm
ROLLS ROYCE,GHOST,6592,,591,250,4.8,332000,P,5,850,850 Nm
ROLLS ROYCE,WRAITH,6592,,624,250,4.4,330000,P,4,870,870 Nm
ROLLS ROYCE,DAWN,6592,,624,250,4.9,360000,P,4,870,870 Nm
ROLLS ROYCE,CULLINAN,6749,,563,250,5.2,325000,P,5,850,850 Nm
ROLLS ROYCE,PHANTOM EXTENDED,6749,,563,250,5.3,500000,P,5,900,900 Nm
ROLLS ROYCE,GHOST EXTENDED,6592,,591,250,4.8,370000,P,5,850,850 Nm
ROLLS ROYCE,WRAITH BLACK BADGE,6592,,624,250,4.3,360000,P,4,870,870 Nm
ROLLS ROYCE,DAWN BLACK BADGE,6592,,624,250,4.8,390000,P,4,870,870 Nm
ROLLS ROYCE,CULLINAN BLACK BADGE,6749,,563,250,5.1,350000,P,5,850,850 Nm
ROLLS ROYCE,PHANTOM COUPE,6749,,563,250,5.3,450000,P,4,870,870 Nm
ROLLS ROYCE,GHOST COUPE,6592,,591,250,4.8,340000,P,4,850,850 Nm
ROLLS ROYCE,WRAITH COUPE,6592,,624,250,4.4,330000,P,4,870,870 Nm
ROLLS ROYCE,DAWN CONVERTIBLE,6592,,624,250,4.9,380000,P,4,870,870 Nm
ROLLS ROYCE,CULLINAN SUV,6749,,563,250,5.2,320000,P,5,850,850 Nm
MERCEDES,BENZ S-CLASS S 580,3982,,496,250,4.4,116000,P,5,700,700 Nm
MERCEDES,BENZ E-CLASS E 63 S,3982,,603,250,3.4,104000,P,5,850,850 Nm
MERCEDES,BENZ CLA 45 AMG,1991,,382,250,4.1,53000,P,5,500,500 Nm
MERCEDES,BENZ GLE 63 S,3982,,603,250,4.2,113000,P,5,850,850 Nm
MERCEDES,BENZ S-CLASS S 500,2996,,429,250,4.9,109000,P,5,700,700 Nm
MERCEDES,BENZ E-CLASS E 450,2996,,362,250,5.2,62000,P,5,500,500 Nm
MERCEDES,BENZ CLS 450,2996,,362,250,5.2,70000,P,5,500,500 Nm
MERCEDES,BENZ GT 53,2996,,429,250,4.5,99000,P,5,700,700 Nm
MERCEDES,BENZ GLE 450,2996,,362,250,5.5,63000,P,5,500,500 Nm
MERCEDES,BENZ A-CLASS A 45 S,1991,,416,250,3.9,53000,P,5,500,500 Nm
MERCEDES,BENZ C-CLASS C 43,2996,,402,250,4.7,52000,P,5,520,520 Nm
MERCEDES,BENZ E-CLASS E 350,1991,,255,250,5.7,49000,P,5,500,500 Nm
MERCEDES,BENZ GLE 350,1991,,255,250,6.1,53000,P,5,500,500 Nm
MERCEDES,BENZ GLC 43,2996,,402,250,4.7,54000,P,5,520,520 Nm
