Company ,Car Name,Engine,CC,HP (Horsepower),Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
,818.0,,3990.0,963.0,340.0,2.5,1100000.0,,2.0,800.0
,818.0,,6749.0,563.0,250.0,5.3,460000.0,,5.0,900.0
,818.0,,1200.0,272.0,165.0,10.5,47000.0,,5.0,373.0
,818.0,,3982.0,630.0,250.0,3.2,161000.0,,4.0,900.0
,818.0,,5204.0,602.0,320.0,3.6,253290.0,,2.0,560.0
,818.0,,3994.0,710.0,341.0,2.9,499000.0,,2.0,770.0
,818.0,,3982.0,656.0,314.0,3.6,193440.0,,2.0,685.0
,818.0,,3996.0,550.0,318.0,4.0,311000.0,,4.0,900.0
,818.0,,6498.0,750.0,356.0,2.9,4500000.0,,2.0,690.0
,818.0,,3900.0,710.0,340.0,2.9,280000.0,,2.0,770.0
,818.0,,6496.0,789.0,340.0,2.9,350000.0,,2.0,718.0
,818.0,,3900.0,592.0,320.0,3.2,210000.0,,4.0,760.0
,818.0,,3900.0,612.0,320.0,3.4,230000.0,,4.0,760.0
,818.0,,6496.0,789.0,340.0,2.9,1700000.0,,2.0,719.0
,818.0,,3900.0,710.0,340.0,2.9,280000.0,,2.0,770.0
,818.0,,3900.0,612.0,320.0,3.2,220000.0,,4.0,760.0
,818.0,,3900.0,612.0,320.0,3.4,240000.0,,4.0,760.0
,818.0,,2998.0,382.0,250.0,4.1,53900.0,,2.0,500.0
,818.0,,1998.0,205.0,226.0,6.4,27000.0,,4.0,205.0
,818.0,,2387.0,228.0,226.0,5.6,30000.0,,4.0,250.0
,818.0,,5663.0,381.0,220.0,6.7,85000.0,,7.0,500.0
,818.0,,5663.0,381.0,200.0,6.9,50000.0,,7.0,651.0
,818.0,,3799.0,600.0,315.0,2.9,113000.0,,4.0,637.0
,818.0,,3696.0,332.0,250.0,4.7,30000.0,,2.0,366.0
,818.0,,2998.0,400.0,290.0,4.1,40000.0,,2.0,475.0
,818.0,,2488.0,188.0,225.0,7.3,25000.0,,5.0,380.0
,818.0,,3498.0,300.0,240.0,5.8,35000.0,,5.0,354.0
,818.0,,1998.0,149.0,200.0,8.2,20000.0,,5.0,240.0
,818.0,,2488.0,201.0,200.0,7.5,28000.0,,5.0,270.0
,818.0,,3498.0,284.0,225.0,6.5,35000.0,,7.0,351.0
,818.0,,3799.0,310.0,180.0,6.8,30000.0,,5.0,381.0
,818.0,,5598.0,400.0,200.0,5.9,40000.0,,5.0,560.0
,818.0,,6496.0,1160.0,402.0,2.5,3200000.0,,2.0,900.0
,818.0,,3996.0,1000.0,362.0,2.5,1100000.0,,2.0,1000.0
,818.0,,5204.0,715.0,340.0,3.4,316000.0,,2.0,900.0
,818.0,,5204.0,600.0,322.0,3.9,208000.0,,4.0,700.0
,818.0,,3996.0,503.0,313.0,3.6,142000.0,,2.0,685.0
,818.0,,3996.0,542.0,291.0,4.5,189000.0,,5.0,700.0
,818.0,,5935.0,580.0,328.0,4.2,240000.0,,4.0,630.0
,818.0,,5935.0,580.0,324.0,3.6,294000.0,,2.0,630.0
,818.0,,5935.0,540.0,314.0,4.2,1100000.0,,4.0,630.0
,818.0,,5204.0,836.0,320.0,2.8,1300000.0,,2.0,821.0
,818.0,,6498.0,819.0,350.0,2.8,2800000.0,,2.0,720.0
,818.0,,6498.0,759.0,350.0,2.8,518000.0,,2.0,720.0
,818.0,,5204.0,640.0,325.0,2.9,274000.0,,2.0,600.0
,818.0,,5204.0,640.0,325.0,2.9,261000.0,,2.0,600.0
,818.0,,6498.0,740.0,350.0,2.8,493000.0,,2.0,690.0
,818.0,,3996.0,641.0,305.0,3.6,211000.0,,5.0,850.0
,818.0,,5204.0,610.0,325.0,3.4,287000.0,,2.0,600.0
,818.0,,6498.0,700.0,350.0,3.0,445000.0,,2.0,690.0
,818.0,,5204.0,640.0,325.0,3.1,308000.0,,2.0,600.0
,818.0,,6498.0,740.0,350.0,2.9,421000.0,,2.0,690.0
,818.0,,5204.0,640.0,325.0,3.1,287000.0,,2.0,600.0
,818.0,,3996.0,641.0,305.0,3.3,242000.0,,5.0,850.0
,818.0,,6498.0,769.0,355.0,2.8,545000.0,,2.0,720.0
,818.0,,5204.0,610.0,325.0,3.3,258000.0,,2.0,560.0
,818.0,,6498.0,759.0,350.0,2.9,573000.0,,2.0,720.0
,818.0,,3996.0,671.0,305.0,3.3,263000.0,,5.0,850.0
,818.0,,5204.0,640.0,325.0,3.0,327000.0,,2.0,565.0
,818.0,,6498.0,769.0,355.0,2.8,545000.0,,2.0,720.0
,818.0,,5204.0,610.0,325.0,3.3,273000.0,,2.0,600.0
,818.0,,6498.0,759.0,350.0,2.9,603000.0,,2.0,720.0
,818.0,,3998.0,641.0,305.0,3.3,253000.0,,5.0,850.0
,818.0,,5204.0,640.0,325.0,3.0,342000.0,,2.0,565.0
,818.0,,6498.0,769.0,355.0,2.8,573000.0,,2.0,720.0
,818.0,,6592.0,591.0,250.0,4.8,332000.0,,5.0,850.0
,818.0,,6592.0,624.0,250.0,4.4,330000.0,,4.0,870.0
,818.0,,6592.0,624.0,250.0,4.9,360000.0,,4.0,870.0
,818.0,,6749.0,563.0,250.0,5.2,325000.0,,5.0,850.0
,818.0,,6749.0,563.0,250.0,5.3,500000.0,,5.0,900.0
,818.0,,6592.0,591.0,250.0,4.8,370000.0,,5.0,850.0
,818.0,,6592.0,624.0,250.0,4.3,360000.0,,4.0,870.0
,818.0,,6592.0,624.0,250.0,4.8,390000.0,,4.0,870.0
,818.0,,6749.0,563.0,250.0,5.1,350000.0,,5.0,850.0
,818.0,,6749.0,563.0,250.0,5.3,450000.0,,4.0,870.0
,818.0,,6592.0,591.0,250.0,4.8,340000.0,,4.0,850.0
,818.0,,6592.0,624.0,250.0,4.4,330000.0,,4.0,870.0
,818.0,,6592.0,624.0,250.0,4.9,380000.0,,4.0,870.0
,818.0,,6749.0,563.0,250.0,5.2,320000.0,,5.0,850.0
,818.0,,3982.0,496.0,250.0,4.4,116000.0,,5.0,700.0
,818.0,,3982.0,603.0,250.0,3.4,104000.0,,5.0,850.0
,818.0,,1991.0,382.0,250.0,4.1,53000.0,,5.0,500.0
,818.0,,3982.0,603.0,250.0,4.2,113000.0,,5.0,850.0
,818.0,,2996.0,429.0,250.0,4.9,109000.0,,5.0,700.0
,818.0,,2996.0,362.0,250.0,5.2,62000.0,,5.0,500.0
,818.0,,2996.0,362.0,250.0,5.2,70000.0,,5.0,500.0
,818.0,,2996.0,429.0,250.0,4.5,99000.0,,5.0,700.0
,818.0,,2996.0,362.0,250.0,5.5,63000.0,,5.0,500.0
,818.0,,1991.0,416.0,250.0,3.9,53000.0,,5.0,500.0
,818.0,,2996.0,402.0,250.0,4.7,52000.0,,5.0,520.0
,818.0,,1991.0,255.0,250.0,5.7,49000.0,,5.0,500.0
,818.0,,1991.0,255.0,250.0,6.1,53000.0,,5.0,500.0
,818.0,,2996.0,402.0,250.0,4.7,54000.0,,5.0,520.0
,818.0,,1991.0,382.0,250.0,4.3,48000.0,,5.0,500.0
,818.0,,1991.0,255.0,250.0,6.1,46000.0,,5.0,500.0
,818.0,,2996.0,429.0,250.0,5.2,71000.0,,5.0,620.0
,818.0,,1991.0,255.0,250.0,6.5,90000.0,,5.0,500.0
,818.0,,2500.0,751.0,250.0,3.4,102000.0,,5.0,950.0
,818.0,,5980.0,630.0,250.0,4.7,200000.0,,5.0,1000.0
,818.0,,4395.0,627.0,305.0,3.0,142000.0,,5.0,750.0
,818.0,,2993.0,493.0,305.0,3.7,133000.0,,4.0,600.0
,818.0,,2993.0,503.0,285.0,3.5,76000.0,,5.0,650.0
,818.0,,2993.0,444.0,280.0,4.0,83000.0,,4.0,550.0
,818.0,,4935.0,523.0,285.0,4.1,114000.0,,5.0,750.0
,818.0,,2993.0,503.0,285.0,4.1,69000.0,,5.0,650.0
,818.0,,4395.0,523.0,305.0,3.3,146000.0,,5.0,750.0
,818.0,,4935.0,523.0,285.0,3.7,108000.0,,4.0,750.0
,818.0,,6592.0,563.0,250.0,4.8,398000.0,,4.0,840.0
,818.0,,6749.0,563.0,250.0,5.1,381000.0,,5.0,850.0
,818.0,,6749.0,563.0,250.0,5.3,475000.0,,5.0,900.0
,818.0,,6749.0,563.0,250.0,4.9,335000.0,,5.0,900.0
,818.0,,6592.0,623.0,250.0,4.5,349000.0,,4.0,800.0
,818.0,,6749.0,563.0,250.0,5.3,495000.0,,5.0,900.0
,818.0,,6749.0,563.0,250.0,4.9,355000.0,,5.0,900.0
,818.0,,6592.0,623.0,250.0,4.5,369000.0,,4.0,800.0
,818.0,,6592.0,563.0,250.0,4.8,418000.0,,4.0,840.0
,818.0,,6749.0,563.0,250.0,5.1,401000.0,,5.0,850.0
,818.0,,6749.0,563.0,250.0,5.3,515000.0,,5.0,900.0
,818.0,,6749.0,563.0,250.0,4.9,375000.0,,5.0,900.0
,818.0,,6592.0,623.0,250.0,4.5,389000.0,,4.0,800.0
,818.0,,6592.0,563.0,250.0,4.8,439000.0,,4.0,840.0
,818.0,,6749.0,563.0,250.0,5.1,421000.0,,5.0,850.0
,818.0,,5204.0,610.0,330.0,3.2,194000.0,,2.0,560.0
,818.0,,3993.0,591.0,305.0,3.6,114000.0,,5.0,800.0
,818.0,,3993.0,563.0,305.0,4.3,101000.0,,5.0,800.0
,818.0,,3993.0,591.0,305.0,3.6,109000.0,,5.0,800.0
,818.0,,3993.0,563.0,305.0,4.3,96000.0,,5.0,650.0
,818.0,,2995.0,335.0,250.0,5.7,86000.0,,5.0,600.0
,818.0,,2995.0,349.0,250.0,4.8,64000.0,,4.0,500.0
,818.0,,2995.0,349.0,250.0,5.4,62000.0,,5.0,500.0
,818.0,,2995.0,349.0,250.0,4.7,59000.0,,5.0,500.0
,818.0,,1984.0,306.0,250.0,4.8,52000.0,,5.0,400.0
,818.0,,2995.0,335.0,250.0,6.3,60000.0,,7.0,600.0
,818.0,,1984.0,248.0,240.0,6.3,43000.0,,5.0,500.0
,818.0,,2995.0,335.0,250.0,5.7,68000.0,,5.0,600.0
,818.0,,2995.0,335.0,250.0,5.7,58000.0,,5.0,600.0
,818.0,,1984.0,248.0,240.0,6.3,45000.0,,4.0,500.0
,818.0,,1984.0,248.0,240.0,6.5,39000.0,,5.0,400.0
,818.0,,1984.0,248.0,230.0,7.3,35000.0,,5.0,400.0
,818.0,,2500.0,402.0,200.0,5.5,75000.0,,5.0,664.0
,818.0,,2500.0,402.0,200.0,5.5,78000.0,,5.0,664.0
,818.0,,1984.0,248.0,250.0,5.3,49000.0,,2.0,400.0
,818.0,,2500.0,369.0,250.0,4.4,165000.0,,2.0,570.0
,818.0,,1998.0,255.0,250.0,5.6,45000.0,,5.0,400.0
,818.0,,2998.0,382.0,250.0,4.1,57000.0,,5.0,500.0
,818.0,,1998.0,255.0,250.0,5.8,48000.0,,4.0,400.0
,818.0,,2993.0,503.0,290.0,3.8,81000.0,,4.0,650.0
,818.0,,1998.0,248.0,250.0,5.9,57000.0,,5.0,400.0
,818.0,,4395.0,523.0,250.0,3.6,78000.0,,5.0,650.0
,818.0,,1499.0,136.0,213.0,8.5,32000.0,,5.0,220.0
,818.0,,1998.0,261.0,250.0,6.1,42000.0,,5.0,400.0
,818.0,,1998.0,302.0,250.0,4.8,30000.0,,5.0,450.0
,818.0,,1496.0,116.0,200.0,10.3,30000.0,,5.0,280.0
,818.0,,1995.0,190.0,230.0,6.9,38000.0,,5.0,400.0
,818.0,,1499.0,109.0,200.0,10.9,28000.0,,5.0,200.0
,818.0,,1995.0,150.0,216.0,8.4,34000.0,,5.0,380.0
,818.0,,1998.0,178.0,230.0,7.1,37000.0,,5.0,300.0
,818.0,,1998.0,224.0,240.0,6.1,42000.0,,5.0,400.0
,818.0,,1496.0,95.0,185.0,12.2,27000.0,,5.0,270.0
,818.0,,1598.0,102.0,195.0,11.2,26000.0,,5.0,200.0
,818.0,,1995.0,224.0,240.0,6.3,44000.0,,5.0,400.0
,818.0,,1499.0,136.0,211.0,8.9,34000.0,,5.0,250.0
,818.0,,1496.0,116.0,200.0,10.9,30000.0,,5.0,270.0
,818.0,,1499.0,136.0,213.0,8.5,35000.0,,5.0,250.0
,818.0,,1499.0,136.0,213.0,8.5,37000.0,,5.0,250.0
,818.0,,1998.0,178.0,230.0,7.1,39000.0,,5.0,300.0
,818.0,,1598.0,109.0,195.0,10.9,29000.0,,5.0,200.0
,818.0,,1496.0,116.0,200.0,10.5,31000.0,,5.0,270.0
,818.0,,1995.0,163.0,225.0,7.7,39000.0,,5.0,400.0
,818.0,,1499.0,136.0,213.0,8.5,36000.0,,5.0,250.0
,818.0,,1995.0,150.0,216.0,8.4,36000.0,,5.0,380.0
,818.0,,1998.0,178.0,230.0,7.2,40000.0,,5.0,300.0
,818.0,,1496.0,95.0,185.0,12.2,28000.0,,5.0,270.0
,818.0,,1499.0,136.0,213.0,8.5,35000.0,,5.0,250.0
,818.0,,1969.0,247.0,200.0,6.5,60000.0,,7.0,400.0
,818.0,,1969.0,247.0,220.0,6.4,55000.0,,5.0,400.0
,818.0,,1969.0,295.0,250.0,5.9,60000.0,,5.0,400.0
,818.0,,2480.0,187.0,200.0,8.0,27000.0,,5.0,250.0
,818.0,,2480.0,187.0,200.0,8.0,30000.0,,5.0,250.0
,818.0,,2480.0,187.0,200.0,8.0,32000.0,,5.0,350.0
,818.0,,1998.0,240.0,210.0,6.7,36000.0,,5.0,400.0
,818.0,,2480.0,187.0,200.0,8.0,33000.0,,5.0,350.0
,818.0,,1996.0,315.0,272.0,5.7,44000.0,,5.0,400.0
,818.0,,2500.0,261.0,180.0,8.0,41000.0,,5.0,350.0
,818.0,,2480.0,187.0,200.0,8.0,26000.0,,5.0,250.0
,818.0,,1998.0,240.0,210.0,6.7,38000.0,,5.0,400.0
,818.0,,2480.0,187.0,200.0,8.3,29000.0,,5.0,250.0
,818.0,,2480.0,187.0,200.0,8.0,32500.0,,5.0,350.0
,818.0,,2480.0,187.0,200.0,8.2,28000.0,,5.0,250.0
,818.0,,1498.0,192.0,201.0,7.1,29400.0,,5.0,370.0
,818.0,,2500.0,227.0,180.0,8.0,37000.0,,5.0,350.0
,818.0,,2500.0,261.0,180.0,7.9,42000.0,,5.0,350.0
,818.0,,2480.0,187.0,200.0,8.1,36000.0,,5.0,400.0
,818.0,,2480.0,187.0,200.0,8.1,38000.0,,5.0,400.0
,818.0,,1998.0,240.0,210.0,6.5,40000.0,,5.0,400.0
,818.0,,2480.0,187.0,200.0,8.5,26500.0,,5.0,250.0
,818.0,,1498.0,190.0,186.0,8.2,30000.0,,5.0,400.0
,818.0,,3471.0,285.0,209.0,6.3,40000.0,,8.0,360.0
,818.0,,1498.0,180.0,220.0,6.8,26350.0,,5.0,300.0
,818.0,,3500.0,301.0,220.0,6.0,27000.0,,5.0,250.0
,818.0,,1798.0,139.0,180.0,9.4,22500.0,,5.0,200.0
,818.0,,1798.0,121.0,180.0,10.5,26700.0,,5.0,142.0
,818.0,,2494.0,203.0,200.0,8.1,27100.0,,5.0,400.0
,818.0,,3456.0,295.0,220.0,7.2,38400.0,,7.0,370.0
,818.0,,3956.0,270.0,200.0,7.5,37400.0,,5.0,400.0
,818.0,,2694.0,159.0,180.0,9.5,26400.0,,5.0,400.0
,818.0,,5663.0,381.0,220.0,6.7,39900.0,,5.0,650.0
,818.0,,3456.0,301.0,220.0,6.9,41400.0,,5.0,400.0
,818.0,,1798.0,151.0,180.0,9.2,52400.0,,5.0,335.0
,818.0,,2494.0,245.0,190.0,8.0,44150.0,,7.0,360.0
,818.0,,2494.0,219.0,200.0,7.5,33400.0,,5.0,400.0
,818.0,,3456.0,240.0,220.0,8.2,40400.0,,7.0,350.0
,818.0,,3956.0,282.0,200.0,7.2,49400.0,,7.0,450.0
,818.0,,3456.0,344.0,220.0,6.2,43400.0,,5.0,650.0
,818.0,,1496.0,106.0,180.0,11.2,18400.0,,5.0,150.0
,818.0,,1986.0,144.0,200.0,10.2,24400.0,,5.0,250.0
,818.0,,2500.0,218.0,200.0,7.5,43400.0,,5.0,330.0
,818.0,,2494.0,236.0,200.0,7.6,38400.0,,5.0,400.0
,818.0,,1986.0,168.0,200.0,6.9,29000.0,,2.0,400.0
,818.0,,1986.0,140.0,200.0,8.5,25000.0,,5.0,250.0
,818.0,,1497.0,119.0,180.0,10.2,15400.0,,5.0,145.0
,818.0,,1996.0,158.0,200.0,8.5,20400.0,,5.0,400.0
,818.0,,1197.0,87.0,160.0,12.2,12400.0,,5.0,120.0
,818.0,,1396.0,99.0,180.0,10.5,15400.0,,5.0,250.0
,818.0,,1999.0,147.0,200.0,9.5,18400.0,,5.0,250.0
,818.0,,2179.0,155.0,180.0,10.5,18400.0,,7.0,400.0
,818.0,,2179.0,140.0,160.0,11.2,16400.0,,7.0,280.0
,818.0,,1997.0,150.0,180.0,10.5,20400.0,,4.0,320.0
,818.0,,1197.0,83.0,160.0,12.2,10400.0,,5.0,113.0
,818.0,,1197.0,83.0,160.0,12.2,11400.0,,5.0,113.0
,818.0,,1462.0,103.0,180.0,11.5,14400.0,,5.0,200.0
,818.0,,1998.0,220.0,180.0,6.7,31100.0,,5.0,220.0
,818.0,,1618.0,300.0,230.0,7.1,36995.0,,5.0,370.0
,818.0,,3346.0,305.0,210.0,6.8,58500.0,,7.0,650.0
,818.0,,3445.0,437.0,180.0,6.2,56000.0,,5.0,750.0
,818.0,,1987.0,169.0,190.0,8.2,25390.0,,5.0,250.0
,818.0,,2500.0,152.0,180.0,9.0,49500.0,,5.0,335.0
,818.0,,2755.0,224.0,170.0,10.0,50000.0,,5.0,500.0
,818.0,,2500.0,296.0,180.0,8.5,60000.0,,7.0,400.0
,818.0,,2755.0,204.0,175.0,10.5,55000.0,,7.0,500.0
,818.0,,1987.0,184.0,165.0,9.5,40000.0,,7.0,250.0
,818.0,,4009.0,134.0,120.0,7.1,70000.0,,20.0,500.0
,818.0,,1490.0,114.0,170.0,11.0,25000.0,,5.0,130.0
,818.0,,998.0,71.0,160.0,14.8,18000.0,,4.0,93.0
,818.0,,2755.0,204.0,175.0,10.0,50000.0,,5.0,500.0
,818.0,,2500.0,136.0,130.0,13.5,55000.0,,7.0,280.0
,818.0,,3456.0,406.0,200.0,6.0,170000.0,,5.0,500.0
,818.0,,1798.0,134.0,180.0,10.0,24000.0,,5.0,300.0
,818.0,,2500.0,241.0,160.0,7.5,35000.0,,5.0,340.0
