Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
FERRARI,SF90 STRADALE,3990 cc,963,340,2.5,1100000,,2,800
ROLLS ROYCE,PHANTOM,6749 cc,563,250,5.3,460000,P,5,900
Ford,KA+,"1,200 cc",272,165,10.5,47000,P,5,373
MERCEDES,GT 63 S,"3,982 cc",630,250,3.2,161000,P,4,900
AUDI,AUDI R8 Gt,"5,204 cc",602,320,3.6,253290,P,2,560
BMW,Mclaren 720s,"3,994 cc",710,341,2.9,499000,P,2,770
ASTON MARTIN,VANTAGE F1,"3,982 cc",656,314,3.6,193440,P,2,685
BENTLEY,Continental GT Azure,"3,996 cc",550,318,4,311000,P,4,900
LAMBORGHINI,VENENO ROADSTER,"6,498 cc",750,356,2.9,4500000,P,2,690
FERRARI,F8 TRIBUTO,"3,900 cc",710,340,2.9,280000,P,2,770
FERRARI,812 GTS,6496 cc,789,340,2.9,350000,P,2,718
FERRARI,PORTOFINO,"3,900 cc",592,320,3.2,210000,P,4,760
FERRARI,ROMA,"3,900 cc",612,320,3.4,230000,P,4,760
FERRARI,MONZA SP2,"6,496 cc",789,340,2.9,1700000,P,2,719
FERRARI,F8 SPIDER,"3,900 cc",710,340,2.9,280000,P,2,770
FERRARI,PORTOFINO M,"3,900 cc",612,320,3.2,220000,P,4,760
FERRARI,ROMA SPIDER,"3,900 cc",612,320,3.4,240000,P,4,760
TOYOTA,GR SUPRA,"2,998 cc",382,250,4.1,53900,P,2,500
TOYOTA,TOYOTA 86,"1,998 cc",205,226,6.4,27000,P,4,205
TOYOTA,TOYOTA  GR86,"2,387 cc",228,226,5.6,30000,P,4,250
TOYOTA,TOYOTA LAND CRUISER,"5,663 cc",381,220,6.7,85000,D,7,500
TOYOTA,TOYOTA SEQUOIA,"5,663 cc",381,200,6.9,50000,P,7,651
NISSAN,GT-R,"3,799 cc",600,315,2.9,113000,P,4,637
NISSAN,370Z,"3,696 cc",332,250,4.7,30000,P,2,366
NISSAN,Z PROTO,"2,998 cc",400,290,4.1,40000,P,2,475
NISSAN,ALTIMA,"2,488 cc",188,225,7.3,25000,P,5,380
NISSAN,MAXIMA,"3,498 cc",300,240,5.8,35000,P,5,354
NISSAN,SENTRA,"1,998 cc",149,200,8.2,20000,P,5,240
NISSAN,ROGUE,"2,488 cc",201,200,7.5,28000,P,5,270
NISSAN,PATHFINDER,"3,498 cc",284,225,6.5,35000,P,7,351
NISSAN,FRONTIER,"3,799 cc",310,180,6.8,30000,P,5,381
NISSAN,TITAN,"5,598 cc",400,200,5.9,40000,P,5,560
ASTON MARTIN,VALKYRIE,"6,496 cc",1160,402,2.5,3200000,H,2,900
ASTON MARTIN,VALHALLA,"3,996 cc",1000,362,2.5,1100000,H,2,1000
ASTON MARTIN,DBS SUPERLEGGERA,"5,204 cc",715,340,3.4,316000,P,2,900
ASTON MARTIN,DB11,"5,204 cc",600,322,3.9,208000,P,4,700
ASTON MARTIN,VANTAGE,"3,996 cc",503,313,3.6,142000,P,2,685
ASTON MARTIN,DBX,"3,996 cc",542,291,4.5,189000,P,5,700
ASTON MARTIN,RAPIDE AMR,"5,935 cc",580,328,4.2,240000,P,4,630
ASTON MARTIN,VANQUISH,"5,935 cc",580,324,3.6,294000,P,2,630
