Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
FERRARI,SF90 STRADALE,3990,963,340,2.5,1100000,,2.0,800
ROLLS ROYCE,PHANTOM,6749,563,250,5.3,460000,P,5.0,900
Ford,KA+,1200,272,165,10.5,47000,P,5.0,373
MERCEDES,GT 63 S,3982,630,250,3.2,161000,P,4.0,900
AUDI,AUDI R8 Gt,5204,602,320,3.6,253290,P,2.0,560
BMW,Mclaren 720s,3994,710,341,2.9,499000,P,2.0,770
ASTON MARTIN,VANTAGE F1,3982,656,314,3.6,193440,P,2.0,685
BENTLEY,Continental GT Azure,3996,550,318,4,311000,P,4.0,900
LAMBORGHINI,VENENO ROADSTER,6498,750,356,2.9,4500000,P,2.0,690
FERRARI,F8 TRIBUTO,3900,710,340,2.9,280000,P,2.0,770
FERRARI,812 GTS,6496,789,340,2.9,350000,P,2.0,718
FERRARI,PORTOFINO,3900,592,320,3.2,210000,P,4.0,760
FERRARI,ROMA,3900,612,320,3.4,230000,P,4.0,760
FERRARI,MONZA SP2,6496,789,340,2.9,1700000,P,2.0,719
FERRARI,F8 SPIDER,3900,710,340,2.9,280000,P,2.0,770
FERRARI,PORTOFINO M,3900,612,320,3.2,220000,P,4.0,760
FERRARI,ROMA SPIDER,3900,612,320,3.4,240000,P,4.0,760
TOYOTA,GR SUPRA,2998,382,250,4.1,53900,P,2.0,500
TOYOTA,TOYOTA 86,1998,205,226,6.4,27000,P,4.0,205
TOYOTA,TOYOTA  GR86,2387,228,226,5.6,30000,P,4.0,250
TOYOTA,TOYOTA LAND CRUISER,5663,381,220,6.7,85000,D,7.0,500
TOYOTA,TOYOTA SEQUOIA,5663,381,200,6.9,50000,P,7.0,651
NISSAN,GT-R,3799,600,315,2.9,113000,P,4.0,637
NISSAN,370Z,3696,332,250,4.7,30000,P,2.0,366
NISSAN,Z PROTO,2998,400,290,4.1,40000,P,2.0,475
NISSAN,ALTIMA,2488,188,225,7.3,25000,P,5.0,380
NISSAN,MAXIMA,3498,300,240,5.8,35000,P,5.0,354
NISSAN,SENTRA,1998,149,200,8.2,20000,P,5.0,240
NISSAN,ROGUE,2488,201,200,7.5,28000,P,5.0,270
NISSAN,PATHFINDER,3498,284,225,6.5,35000,P,7.0,351
NISSAN,FRONTIER,3799,310,180,6.8,30000,P,5.0,381
NISSAN,TITAN,5598,400,200,5.9,40000,P,5.0,560
ASTON MARTIN,VALKYRIE,6496,1160,402,2.5,3200000,H,2.0,900
ASTON MARTIN,VALHALLA,3996,1000,362,2.5,1100000,H,2.0,1000
ASTON MARTIN,DBS SUPERLEGGERA,5204,715,340,3.4,316000,P,2.0,900
ASTON MARTIN,DB11,5204,600,322,3.9,208000,P,4.0,700
ASTON MARTIN,VANTAGE,3996,503,313,3.6,142000,P,2.0,685
ASTON MARTIN,DBX,3996,542,291,4.5,189000,P,5.0,700
ASTON MARTIN,RAPIDE AMR,5935,580,328,4.2,240000,P,4.0,630
ASTON MARTIN,VANQUISH,5935,580,324,3.6,294000,P,2.0,630
ASTON MARTIN,LAGONDA TARAF,5935,540,314,4.2,1100000,P,4.0,630
ASTON MARTIN,VICTOR,5204,836,320,2.8,1300000,P,2.0,821
LAMBORGHINI,SIAN,6498,819,350,2.8,2800000,H,2.0,720
